city,state,pop2017,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,weather.avg,precip.avg,air.quality,results,rank.by.size,rank.by.score
McKinney,Texas,0.20382731090116887,0.2280372222004116,0.4394390835904838,-0.9934839607167266,3.3559565201258623,1.1370589615702857,0.05137361524911843,0.5209952074067536,1.8866410499982746,2.1727815305434235,-1.9991304413673738,-1.3657096729492713,-1.4562006910715257,-0.4617700723769273,-0.018997315538846076,0.11312275783446499,3.813941105399577,136,243
Allen,Texas,0.33857115326806586,0.4914305703770865,0.14460169185119107,1.05763772281491,-0.531203546016198,1.1370589615702857,0.32495571015452224,0.5209952074067536,1.8866410499982746,2.3669582707730226,-1.6093313396336726,-1.4561123732374874,-1.4562006910715257,-0.4376389020769389,1.0118356615327337,0.11312275783446499,3.9033219055454884,308,244
Olathe,Kansas,0.27710644089716824,0.24344463253943716,0.5928748690874627,1.05763772281491,-0.027312426331116076,0.6348215847085348,-0.003342803731963112,0.5209952074067536,1.6312567772890414,1.5902513098546278,-2.583829093967926,-1.2905776990610918,0.7449094665141097,0.40842390777612536,-0.08286366103364388,0.2832856487003349,3.997081883462765,191,245
Lancaster,California,0.23893806920606037,-0.0016065604717311508,0.7514251807676742,1.05763772281491,0.47657869335396585,1.1370589615702857,-0.7146562504860124,0.5209952074067536,-0.2841252680302081,0.6193676087066315,-0.2450344835657178,-0.5520853703553263,0.7449094665141097,0.39746182949428494,-1.1072642907381267,0.9639372121638146,4.003537728351368,160,246
Vallejo,California,0.30278203920645097,0.46501786693875696,0.07360003424866751,0.18746488737724604,0.9804698130390478,1.1370589615702857,1.0636273663991114,-1.2995610791494325,-0.15643313167559136,-1.3223997935893588,3.0682578811707435,0.5449636142232963,-0.90592315167511694,0.8750522098725815,-0.5579522129710217,-0.3548251920466773,4.101200112938989,227,247
Sparks,Nevada,0.3382319753897042,0.4268661841945033,0.4168749974879869,0.24962008990850776,-0.0992968720004135,1.1370589615702857,0.8447616904747891,0.5209952074067536,0.7374118228067257,0.0368373880178338,-0.8297331361662698,-0.33768437169881377,0.7449094665141097,1.1824089978212617,-1.0620196942467186,-0.057040133031404934,4.250202574448841,306,248
Manchester,New Hampshire,0.3210090908076721,0.44740939797987067,0.25772297684504214,-0.18546632781032427,0.5485631390232633,1.1370589615702857,0.598537805059926,0.5209952074067536,-0.2841252680302081,-0.5456928326709629,0.7294632707685356,-0.2619415687546327,0.7449094665141097,1.0389826762359118,0.1194304082790846,-0.6526102510619497,4.534246152162377,263,249
Sandy Springs,Georgia,0.3284559666887467,0.4136598324753385,0.4186801243761866,1.1197929253461718,2.1322209437478064,-0.26920569364261704,0.35231391964506303,-1.2995610791494325,0.2266432773882588,-0.5456928326709629,3.6529565337712953,-0.9228586073482127,-1.272774844606056,-0.14392818646085617,0.3156989024327577,0.028041312401530023,4.534442494395018,284,250
Ontario,California,0.21299848023283108,0.32415011526766624,0.2180101853046476,9.992797834608858e-4,0.2606253563460736,-0.16875821827026682,-0.6872980409954726,0.5209952074067536,0.09895114103364207,0.8135443489362308,2.4835592285701917,-0.47451008024314084,0.7449094665141097,-0.2553245642157817,-0.9192302414920757,1.4318851620449569,4.605506826223826,145,251
San Francisco,California,-0.9708191982528602,0.3461607014662742,-4.32429077436866,-2.5473640239982696,-1.754939122394254,-2.8808400533237224,1.0909855758896523,0.5209952074067536,-0.5395095407394408,-2.2932834947373553,17.685724196184545,1.9272697679546007,-0.90592315167511694,0.197703290873879,-0.5820403075964812,-0.3548251920466773,4.615003880642867,13,252
